libsailfishapp, 1.2.13, 1.7.2, jolla, aarch64;
libsailfishkeyprovider, 1.0.9, 1.5.2, jolla, aarch64;
libsailfishkeyprovider-data-jolla, 0.1.0, 1.2.2, jolla, aarch64;
libsbc, 2.0, +git1-1.7.1, jolla, aarch64;
libseccomp, 2.5.2, +git1-1.5.3, jolla, aarch64;
libselinux, 3.1, +git3-1.6.1, jolla, aarch64;
libsepol, 3.1, +git3-1.5.3, jolla, aarch64;
libshadowutils, 0.0.4, 1.5.1, jolla, aarch64;
libsigc++20, 2.10.4, +git1-1.5.3, jolla, aarch64;
libsignon-glib, 1.15, +git1-1.6.1, jolla, aarch64;
libsignon-qt5, 8.60.0, +git6-1.10.1, jolla, aarch64;
libsmartcols, 2.38.1, +git1-1.8.3, jolla, aarch64;
libsndfile, 1.1.0, +git1-1.6.2, jolla, aarch64;
libsocialcache, 0.1.7, 1.5.1, jolla, aarch64;
libsocialcache-qml-plugin, 0.1.7, 1.5.1, jolla, aarch64;
libsolv, 0.7.20, +git2-1.6.3, jolla, aarch64;
libsolv-tools, 0.7.20, +git2-1.6.3, jolla, aarch64;
libsoup, 2.68.2, +git1-1.6.1, jolla, aarch64;
libsrtp, 2.3.0, +git1-1.5.3, jolla, aarch64;
libss, 1.46.5, +git1-1.5.5, jolla, aarch64;
libstdc++, 8.3.0, 1.7.2, jolla, aarch64;
libtasn1, 4.18.0, +git1-1.6.5, jolla, aarch64;
libtheora, 1.2.0alpha1, +git4-1.6.2, jolla, aarch64;
libtiff, 4.3.0, +git1-1.5.3, jolla, aarch64;
libtool-ltdl, 2.4.6, 1.4.4, jolla, aarch64;
libtrace, 1.1.8, +git4-1.6.3, jolla, aarch64;
libudisks2, 2.9.4, +git3-1.10.1, jolla, aarch64;
libusb-1, 0.1.7, +git2-1.6.1, jolla, aarch64;
libusb-moded-qt5, 1.10, 1.6.2, jolla, aarch64;
libusb1, 1.0.24, +git3-1.7.1, jolla, aarch64;
libuser, 0.62, +git5-1.7.1, jolla, aarch64;
libutempter, 1.1.5, +git3-1.6.11, jolla, aarch64;
libuuid, 2.38.1, +git1-1.8.3, jolla, aarch64;
libvorbis, 1.3.7, 1.4.3, jolla, aarch64;
libvpx, 1.12.0, 1.5.2, jolla, aarch64;
libwbxml2, 0.11.6, +git2-1.6.2, jolla, aarch64;
libwebp, 1.2.4, +git1-1.9.1, jolla, aarch64;
libwspcodec, 2.2.6, 1.6.1, jolla, aarch64;
libxcrypt, 4.4.23, +git2-1.2.3, jolla, aarch64;
libxkbcommon, 1.3.1, +git1-1.7.1, jolla, aarch64;
libxml2, 2.9.12, +git1-1.4.4, jolla, aarch64;
libzstd, 1.5.0, +git2-1.2.3, jolla, aarch64;
libzypp, 17.26.0, +git2-1.7.1, jolla, aarch64;
